lat,lon,crime_type,date,severity,source
19.095429,72.94281,vandalism,2026-08-20,3,Mumbai Police FIR Dataset 2024
18.940237,72.83471,theft,2026-08-14,3,Mumbai Police FIR Dataset 2024
18.873855,72.987789,pickpocketing,2026-06-08,5,NCRB 2024
18.950909,72.774572,pickpocketing,2026-08-21,5,Mumbai Police FIR Dataset 2024
19.166273,72.754176,theft,2026-06-16,4,NCRB 2024
19.146388,73.041543,pickpocketing,2026-08-12,5,Mumbai Police FIR Dataset 2024
19.0534,72.842854,assault,2026-07-25,3,Mumbai Police FIR Dataset 2024
19.054539,72.842738,assault,2026-08-05,5,Mumbai Police FIR Dataset 2024
19.175221,72.8199,vandalism,2026-08-05,1,NCRB 2024
19.021955,72.923995,harassment,2026-06-01,4,NCRB 2024
18.952497,72.860669,vandalism,2026-06-07,1,Mumbai Police FIR Dataset 2024
19.076946,72.877457,robbery,2026-08-06,5,Mumbai Police FIR Dataset 2024
19.140897,73.022626,vandalism,2026-05-31,3,NCRB 2024
19.249963,72.854988,theft,2026-06-01,1,Mumbai Police FIR Dataset 2024
18.898893,72.856079,robbery,2026-05-30,1,NCRB 2024
19.07207,72.822097,pickpocketing,2026-06-24,4,NCRB 2024
19.097884,72.822249,assault,2026-06-10,2,NCRB 2024
19.166296,72.817706,robbery,2026-06-18,4,NCRB 2024
18.939183,72.835473,robbery,2026-08-19,3,Mumbai Police FIR Dataset 2024
19.118194,72.972942,robbery,2026-06-15,5,Smart City Crime Reports
19.178932,72.781662,pickpocketing,2026-07-08,4,Smart City Crime Reports
18.948663,72.836292,robbery,2026-08-07,5,Mumbai Police FIR Dataset 2024
19.053414,72.842916,theft,2026-07-27,3,Mumbai Police FIR Dataset 2024
19.118957,72.909251,theft,2026-08-06,4,Mumbai Police FIR Dataset 2024
19.133207,72.787975,theft,2026-08-18,5,NCRB 2024
18.896137,73.04112,vandalism,2026-08-01,3,Mumbai Police FIR Dataset 2024
18.938997,72.835205,theft,2026-08-13,3,Mumbai Police FIR Dataset 2024
18.85406,73.034419,assault,2026-08-13,4,NCRB 2024
19.08699,72.846691,theft,2026-07-23,3,NCRB 2024
18.895911,72.817443,harassment,2026-08-04,2,Mumbai Police FIR Dataset 2024
19.168491,72.91978,harassment,2026-08-18,5,NCRB 2024
18.888866,72.938237,harassment,2026-08-18,4,Mumbai Police FIR Dataset 2024
19.114171,72.797117,vandalism,2026-08-01,1,Mumbai Police FIR Dataset 2024
18.913679,72.960383,theft,2026-07-06,4,Mumbai Police FIR Dataset 2024
19.008322,72.752429,pickpocketing,2026-05-28,1,Smart City Crime Reports
18.929829,73.025536,harassment,2026-07-10,2,Mumbai Police FIR Dataset 2024
19.090164,72.855494,vandalism,2026-06-11,2,Mumbai Police FIR Dataset 2024
18.861548,72.939007,pickpocketing,2026-07-24,2,NCRB 2024
19.085541,72.754734,theft,2026-07-21,2,Smart City Crime Reports
19.08183,72.969708,harassment,2026-08-12,3,Smart City Crime Reports
18.908942,72.763864,vandalism,2026-06-24,1,NCRB 2024
19.249749,73.006001,assault,2026-08-10,4,Smart City Crime Reports
19.055183,72.843039,assault,2026-08-05,3,Mumbai Police FIR Dataset 2024
18.949622,72.834323,theft,2026-07-31,5,Mumbai Police FIR Dataset 2024
19.198159,72.99127,theft,2026-06-25,2,Mumbai Police FIR Dataset 2024
18.948425,72.835469,assault,2026-07-26,4,Mumbai Police FIR Dataset 2024
19.024423,72.905976,pickpocketing,2026-06-16,2,NCRB 2024
19.132165,72.874647,robbery,2026-06-23,2,NCRB 2024
19.119962,72.908758,theft,2026-07-26,4,Mumbai Police FIR Dataset 2024
18.877368,72.939348,assault,2026-07-18,1,NCRB 2024
19.076619,72.876713,theft,2026-07-29,5,Mumbai Police FIR Dataset 2024
19.143814,72.931114,theft,2026-08-20,2,Smart City Crime Reports
19.013318,72.791933,harassment,2026-08-19,4,Mumbai Police FIR Dataset 2024
19.241335,72.978111,theft,2026-05-25,4,Mumbai Police FIR Dataset 2024
19.027353,73.035167,theft,2026-07-08,3,Smart City Crime Reports
19.025661,72.890609,pickpocketing,2026-07-16,4,NCRB 2024
19.015776,72.93893,pickpocketing,2026-07-30,4,NCRB 2024
19.043679,72.967376,vandalism,2026-06-17,3,Mumbai Police FIR Dataset 2024
19.147462,72.892402,assault,2026-07-21,3,Smart City Crime Reports
19.183051,72.838874,assault,2026-07-08,3,Mumbai Police FIR Dataset 2024
19.016672,72.844338,theft,2026-08-06,4,Mumbai Police FIR Dataset 2024
18.948322,72.836186,assault,2026-07-26,4,Mumbai Police FIR Dataset 2024
18.959174,72.895693,harassment,2026-07-05,4,Smart City Crime Reports
19.076403,72.877539,assault,2026-08-09,4,Mumbai Police FIR Dataset 2024
18.958686,72.845913,theft,2026-06-15,2,Mumbai Police FIR Dataset 2024
19.076237,72.878423,theft,2026-08-05,5,Mumbai Police FIR Dataset 2024
18.993584,72.838762,harassment,2026-05-26,1,Smart City Crime Reports
18.949544,72.83591,robbery,2026-08-11,3,Mumbai Police FIR Dataset 2024
18.893361,72.880369,robbery,2026-07-14,5,Smart City Crime Reports
19.03193,72.844355,theft,2026-07-13,4,Smart City Crime Reports
19.248653,72.915117,pickpocketing,2026-07-09,4,NCRB 2024
19.21321,72.862592,theft,2026-07-29,5,Smart City Crime Reports
18.939958,72.835484,robbery,2026-07-31,3,Mumbai Police FIR Dataset 2024
18.960499,72.987002,harassment,2026-07-01,5,NCRB 2024
18.947545,72.889413,pickpocketing,2026-06-06,4,NCRB 2024
19.077642,72.871823,harassment,2026-08-23,3,Mumbai Police FIR Dataset 2024
19.120607,72.910145,theft,2026-07-25,5,Mumbai Police FIR Dataset 2024
19.118842,72.908776,robbery,2026-08-02,3,Mumbai Police FIR Dataset 2024
19.119935,72.891443,vandalism,2026-06-05,3,Smart City Crime Reports
19.235888,72.78243,harassment,2026-08-20,5,Smart City Crime Reports
19.182709,72.777969,pickpocketing,2026-08-11,3,Mumbai Police FIR Dataset 2024
18.949652,72.834827,theft,2026-08-07,5,Mumbai Police FIR Dataset 2024
19.072548,72.92594,vandalism,2026-06-13,3,Smart City Crime Reports
19.017286,72.844975,robbery,2026-07-27,5,Mumbai Police FIR Dataset 2024
19.053777,72.842692,assault,2026-08-02,4,Mumbai Police FIR Dataset 2024
19.119179,72.908782,theft,2026-08-05,3,Mumbai Police FIR Dataset 2024
18.939613,72.835363,robbery,2026-07-27,3,Mumbai Police FIR Dataset 2024
19.018142,72.844874,theft,2026-08-15,5,Mumbai Police FIR Dataset 2024
18.940416,72.836112,theft,2026-08-20,5,Mumbai Police FIR Dataset 2024
19.075279,72.876905,assault,2026-07-31,3,Mumbai Police FIR Dataset 2024
19.07634,72.878104,assault,2026-08-02,3,Mumbai Police FIR Dataset 2024
18.884072,72.824457,robbery,2026-06-13,5,Smart City Crime Reports
19.177369,72.975341,harassment,2026-05-29,2,Mumbai Police FIR Dataset 2024
18.93937,72.835793,assault,2026-07-31,5,Mumbai Police FIR Dataset 2024
19.075139,72.878023,robbery,2026-07-30,3,Mumbai Police FIR Dataset 2024
19.017484,72.845011,theft,2026-08-06,3,Mumbai Police FIR Dataset 2024
19.014658,72.898641,robbery,2026-05-31,5,Mumbai Police FIR Dataset 2024
19.17328,72.911452,robbery,2026-06-23,4,Smart City Crime Reports
19.105797,73.041328,harassment,2026-08-17,2,Mumbai Police FIR Dataset 2024
19.226425,72.893319,robbery,2026-08-15,4,Mumbai Police FIR Dataset 2024
19.194056,72.967265,vandalism,2026-07-04,3,Mumbai Police FIR Dataset 2024
18.925033,72.858534,pickpocketing,2026-06-21,4,Mumbai Police FIR Dataset 2024
19.018478,72.843869,theft,2026-08-20,5,Mumbai Police FIR Dataset 2024
18.94967,72.835802,assault,2026-07-30,4,Mumbai Police FIR Dataset 2024
19.043839,72.821774,theft,2026-06-28,3,Mumbai Police FIR Dataset 2024
18.990458,72.902822,vandalism,2026-05-29,3,Mumbai Police FIR Dataset 2024
18.948123,72.83517,theft,2026-08-09,5,Mumbai Police FIR Dataset 2024
19.114609,72.770687,harassment,2026-06-02,1,NCRB 2024
19.107336,72.759345,robbery,2026-06-23,4,Smart City Crime Reports
18.939129,72.834404,robbery,2026-08-11,4,Mumbai Police FIR Dataset 2024
18.893971,73.009934,theft,2026-08-07,3,Mumbai Police FIR Dataset 2024
19.072962,73.025241,robbery,2026-08-08,2,NCRB 2024
19.05222,72.87906,theft,2026-05-26,5,Smart City Crime Reports
18.968941,72.926558,harassment,2026-06-30,5,Smart City Crime Reports
19.229845,72.809808,vandalism,2026-08-21,2,Mumbai Police FIR Dataset 2024
19.176003,73.017606,vandalism,2026-06-30,4,Mumbai Police FIR Dataset 2024
18.989184,72.849993,theft,2026-05-30,2,NCRB 2024
19.01304,72.912783,theft,2026-07-01,2,NCRB 2024
19.018359,72.844339,robbery,2026-08-18,5,Mumbai Police FIR Dataset 2024
18.948325,72.835298,assault,2026-07-26,4,Mumbai Police FIR Dataset 2024
19.179971,72.750345,robbery,2026-06-15,4,Mumbai Police FIR Dataset 2024
19.076711,72.878433,robbery,2026-08-11,4,Mumbai Police FIR Dataset 2024
18.85107,72.885151,robbery,2026-06-08,3,Mumbai Police FIR Dataset 2024
19.1276,73.021027,harassment,2026-08-18,1,NCRB 2024
18.895954,72.83357,robbery,2026-07-26,5,Smart City Crime Reports
19.120211,72.90968,robbery,2026-08-01,4,Mumbai Police FIR Dataset 2024
19.076271,72.87743,robbery,2026-08-12,3,Mumbai Police FIR Dataset 2024
19.193362,72.793406,vandalism,2026-08-07,3,Mumbai Police FIR Dataset 2024
18.948186,72.834579,assault,2026-07-31,5,Mumbai Police FIR Dataset 2024
19.080808,72.955935,assault,2026-08-04,5,NCRB 2024
19.064346,72.978657,assault,2026-07-31,2,Smart City Crime Reports
19.121044,72.797393,harassment,2026-06-28,5,NCRB 2024
19.239535,72.974843,assault,2026-07-24,2,NCRB 2024
18.945522,72.864891,theft,2026-07-02,3,Smart City Crime Reports
19.01675,72.845366,theft,2026-07-26,5,Mumbai Police FIR Dataset 2024
19.189206,72.965926,vandalism,2026-07-16,3,Smart City Crime Reports
19.12069,72.9096,assault,2026-08-09,4,Mumbai Police FIR Dataset 2024
18.859466,72.807939,harassment,2026-07-12,1,NCRB 2024
19.149006,72.91384,assault,2026-06-07,4,Mumbai Police FIR Dataset 2024
19.117031,73.046368,harassment,2026-06-08,4,Smart City Crime Reports
19.018179,73.032109,pickpocketing,2026-05-29,2,Smart City Crime Reports
