latitude,longitude,crime_type,date,severity
19.197345,72.838501,Robbery,2024-11-27,3
19.04174,72.859129,Robbery,2026-04-24,3
19.097048,72.864118,Theft,2026-02-01,1
19.129886,72.905354,Harassment,2026-06-28,2
19.139211,72.889388,Theft,2025-11-22,1
19.047342,72.907973,Assault,2026-07-05,4
19.029427,72.842557,Theft,2025-06-10,1
19.150168,72.896541,Harassment,2026-05-12,2
19.1237,72.826592,Harassment,2026-03-24,2
19.166676,72.796493,Theft,2025-01-27,1
19.071218,72.776898,Theft,2025-01-28,1
19.073294,72.86914,Theft,2026-05-21,1
19.057344,72.874557,Harassment,2026-03-31,2
19.122133,72.837412,Robbery,2026-07-24,3
19.183044,72.762037,Assault,2025-05-14,4
19.077387,72.806456,Harassment,2024-10-02,2
19.169585,72.890039,Assault,2025-09-25,4
19.027911,72.761352,Harassment,2025-10-15,2
19.139425,72.828959,Harassment,2024-09-16,2
19.163333,72.804174,Theft,2026-05-28,1
19.104296,72.878247,Assault,2025-12-10,4
19.185794,72.843721,Assault,2025-06-06,4
19.037693,72.865855,Theft,2025-05-16,1
19.132737,72.750242,Harassment,2026-05-15,2
19.100162,72.85884,Theft,2026-01-14,1
19.053172,72.845152,Robbery,2025-08-26,3
19.105289,72.872733,Theft,2025-08-14,1
19.057426,72.895671,Harassment,2025-11-30,2
19.049043,72.847025,Assault,2026-04-01,4
19.117266,72.912912,Assault,2024-09-22,4
19.017836,72.949204,Assault,2025-01-24,4
19.079101,72.867537,Harassment,2025-09-10,2
19.04565,72.858255,Robbery,2025-09-26,3
19.148236,72.807971,Theft,2026-05-26,1
19.048973,72.840646,Theft,2025-10-02,1
19.062451,72.839508,Harassment,2024-12-30,2
19.063937,72.863717,Theft,2025-04-07,1
19.104751,72.852113,Assault,2025-01-14,4
19.175377,72.794171,Harassment,2025-05-15,2
19.042834,72.859707,Harassment,2026-04-22,2
19.090239,72.860044,Harassment,2026-04-12,2
19.078651,72.798691,Harassment,2025-11-07,2
19.165382,72.829486,Assault,2024-10-12,4
19.042266,72.859444,Robbery,2025-01-26,3
19.047716,72.841703,Robbery,2025-12-26,3
19.116601,72.941668,Assault,2025-12-17,4
19.067003,72.861652,Assault,2026-08-20,4
19.03253,72.855863,Harassment,2026-04-27,2
19.075684,72.883332,Robbery,2025-07-06,3
19.147381,72.942086,Theft,2025-05-23,1
19.152789,72.842237,Assault,2025-05-19,4
19.061858,72.856017,Harassment,2026-06-21,2
19.078463,72.881973,Assault,2026-06-12,4
19.063107,72.852625,Assault,2025-05-27,4
19.071627,72.876009,Harassment,2026-05-16,2
19.12945,72.821548,Harassment,2025-05-21,2
19.050173,72.840689,Assault,2025-04-17,4
19.101499,72.86119,Theft,2026-04-16,1
19.054563,72.833294,Robbery,2026-05-05,3
19.071836,72.828461,Robbery,2025-01-14,3
19.101491,72.868599,Harassment,2024-10-25,2
19.068479,72.835069,Harassment,2025-04-26,2
19.131426,72.871983,Theft,2025-09-03,1
19.043976,72.851113,Robbery,2025-02-20,3
19.081089,72.877098,Theft,2026-05-25,1
19.13204,72.896739,Harassment,2026-01-01,2
19.066739,72.819176,Harassment,2025-06-27,2
19.052546,72.800522,Assault,2024-09-27,4
19.091623,72.781908,Harassment,2026-05-08,2
19.043584,72.861902,Theft,2026-02-08,1
19.156186,72.76543,Theft,2025-10-03,1
19.014565,72.780574,Harassment,2024-12-10,2
19.072313,72.826011,Robbery,2026-08-18,3
19.137523,72.907066,Theft,2025-05-02,1
19.083114,72.789371,Assault,2024-11-11,4
19.106465,72.868674,Theft,2024-08-25,1
19.129133,72.854726,Theft,2025-09-14,1
19.0809,72.878701,Theft,2024-11-06,1
19.090101,72.82624,Theft,2026-08-21,1
19.12477,72.902898,Harassment,2025-03-26,2
19.050901,72.854556,Theft,2024-09-29,1
19.050278,72.905378,Robbery,2025-11-26,3
19.105541,72.871361,Robbery,2024-10-28,3
19.07197,72.834512,Assault,2026-05-06,4
19.052465,72.840533,Assault,2025-12-07,4
19.03146,72.75714,Theft,2025-10-15,1
19.116933,72.914925,Assault,2024-09-25,4
19.063936,72.846186,Harassment,2026-03-22,2
19.132081,72.916662,Assault,2025-03-20,4
19.100308,72.859568,Harassment,2024-11-16,2
19.083498,72.877084,Assault,2026-05-22,4
19.034828,72.833945,Harassment,2024-11-22,2
19.047819,72.825589,Assault,2025-08-25,4
19.11848,72.804045,Harassment,2025-04-01,2
19.063095,72.936138,Robbery,2025-05-08,3
19.180627,72.912156,Harassment,2026-08-17,2
19.078714,72.873558,Harassment,2026-01-05,2
19.163214,72.787898,Robbery,2025-12-03,3
19.138813,72.772906,Robbery,2024-10-07,3
19.167508,72.846902,Robbery,2026-04-06,3
19.043953,72.858982,Robbery,2024-11-14,3
19.057266,72.833811,Harassment,2024-10-15,2
19.077906,72.867118,Robbery,2026-08-11,3
19.062639,72.878684,Assault,2025-04-06,4
19.122366,72.893462,Robbery,2025-05-10,3
19.134069,72.902752,Theft,2025-02-09,1
19.130795,72.90861,Robbery,2025-02-18,3
19.101903,72.846561,Harassment,2026-08-21,2
19.072206,72.839457,Theft,2026-06-16,1
19.049546,72.829155,Assault,2026-01-07,4
19.039274,72.848748,Assault,2024-10-17,4
19.070286,72.826328,Robbery,2025-09-05,3
19.080182,72.757493,Robbery,2025-12-01,3
19.047578,72.8549,Theft,2024-10-09,1
19.088699,72.871409,Assault,2025-01-15,4
19.095897,72.85767,Theft,2024-10-20,1
19.141544,72.902851,Theft,2024-09-07,1
19.080984,72.866282,Theft,2026-08-11,1
19.060527,72.891103,Theft,2026-05-26,1
19.087745,72.880564,Harassment,2026-01-04,2
19.165474,72.867432,Theft,2025-07-15,1
19.107833,72.938025,Robbery,2025-12-29,3
19.076861,72.835681,Harassment,2025-06-14,2
19.069026,72.830818,Theft,2025-08-27,1
19.094697,72.87308,Harassment,2026-05-19,2
19.103111,72.858619,Assault,2026-01-31,4
19.079963,72.869764,Harassment,2026-04-10,2
19.051057,72.870163,Robbery,2026-06-21,3
19.031965,72.862287,Harassment,2025-08-14,2
19.075308,72.844901,Assault,2025-07-30,4
19.023033,72.860195,Theft,2025-08-17,1
19.106594,72.843339,Robbery,2025-05-06,3
19.102298,72.810072,Robbery,2025-03-20,3
19.152783,72.886481,Theft,2025-11-15,1
19.042393,72.853615,Robbery,2025-06-24,3
19.074622,72.88298,Assault,2025-05-19,4
19.007868,72.946317,Assault,2025-02-08,4
19.07196,72.832478,Robbery,2025-08-23,3
19.057857,72.831417,Theft,2026-04-20,1
19.041294,72.862943,Assault,2026-07-18,4
19.076622,72.85306,Robbery,2024-11-28,3
19.144734,72.908142,Robbery,2024-10-24,3
19.09446,72.816673,Robbery,2026-05-06,3
19.088882,72.924958,Robbery,2026-02-01,3
19.057304,72.827518,Robbery,2025-01-05,3
19.165662,72.899955,Theft,2026-06-26,1
19.07673,72.859858,Theft,2025-01-29,1
19.126086,72.911489,Harassment,2025-11-16,2
19.05649,72.880162,Assault,2026-08-02,4
19.041548,72.859888,Harassment,2025-10-16,2
19.090448,72.869598,Robbery,2025-12-11,3
19.136437,72.904891,Robbery,2025-10-19,3
19.126941,72.910448,Harassment,2024-11-10,2
19.068647,72.869306,Harassment,2025-03-02,2
19.082106,72.902529,Assault,2026-08-04,4
19.04191,72.823395,Harassment,2025-09-05,2
19.068197,72.845877,Robbery,2026-04-10,3
19.159008,72.849193,Theft,2025-05-06,1
19.111125,72.869236,Harassment,2026-03-16,2
19.088421,72.87371,Theft,2025-11-09,1
19.106981,72.862713,Robbery,2026-01-20,3
19.106486,72.869788,Theft,2026-01-01,1
19.022319,72.892299,Assault,2025-08-28,4
19.144857,72.851882,Harassment,2025-11-19,2
19.036081,72.851845,Robbery,2025-08-23,3
19.173658,72.85673,Theft,2026-02-16,1
19.180026,72.770325,Robbery,2026-01-17,3
19.125144,72.901409,Harassment,2025-11-21,2
19.11912,72.863235,Theft,2025-07-02,1
19.064057,72.839321,Theft,2025-04-10,1
19.049793,72.896898,Assault,2026-03-24,4
19.106673,72.888849,Theft,2025-01-31,1
19.116754,72.866896,Assault,2026-05-29,4
19.116145,72.855687,Assault,2025-08-03,4
19.152106,72.812477,Robbery,2025-05-20,3
19.0642,72.833817,Harassment,2025-06-01,2
19.045708,72.835615,Theft,2026-01-23,1
19.067929,72.864747,Assault,2026-06-18,4
19.077175,72.895791,Assault,2024-12-26,4
19.066697,72.836082,Assault,2026-04-22,4
19.054357,72.83198,Theft,2025-09-03,1
19.120731,72.782049,Theft,2026-02-25,1
19.136861,72.896143,Robbery,2024-10-16,3
19.086869,72.865763,Robbery,2025-04-10,3
19.059777,72.846745,Theft,2026-07-01,1
19.104304,72.922953,Robbery,2026-03-04,3
19.037589,72.849191,Assault,2025-02-27,4
19.119229,72.900965,Harassment,2024-09-03,2
19.101802,72.754455,Harassment,2026-03-25,2
19.020109,72.845834,Harassment,2025-11-26,2
19.052478,72.846772,Theft,2024-10-22,1
19.020768,72.94485,Assault,2026-06-19,4
19.078207,72.878315,Robbery,2025-02-10,3
19.072087,72.916776,Harassment,2024-11-04,2
19.098921,72.859538,Theft,2025-08-06,1
19.091344,72.871092,Theft,2026-06-30,1
19.075777,72.884548,Assault,2026-06-20,4
19.088069,72.878841,Assault,2026-05-04,4
19.110679,72.845296,Robbery,2025-06-30,3
19.168742,72.900234,Harassment,2026-08-04,2
19.079337,72.877547,Robbery,2026-04-21,3
19.128554,72.907276,Assault,2026-01-08,4
19.073077,72.877749,Theft,2026-06-22,1
19.096622,72.845456,Assault,2025-09-10,4
19.104879,72.876135,Harassment,2026-01-10,2
19.10021,72.858357,Robbery,2025-07-20,3
19.051143,72.829076,Assault,2025-08-01,4
19.018753,72.92846,Harassment,2026-02-27,2
19.050704,72.923237,Theft,2024-09-23,1
19.102878,72.866877,Assault,2025-05-11,4
19.070853,72.87748,Assault,2024-09-26,4
19.10517,72.862679,Harassment,2025-05-08,2
19.083433,72.869159,Robbery,2025-03-25,3
19.184248,72.782044,Harassment,2025-07-31,2
19.033398,72.850837,Robbery,2025-01-07,3
19.052026,72.83115,Assault,2025-05-04,4
19.148565,72.931771,Robbery,2025-07-21,3
19.09416,72.860831,Theft,2025-07-29,1
19.008523,72.835372,Theft,2026-06-12,1
19.019341,72.855601,Harassment,2025-07-06,2
19.008511,72.777837,Theft,2025-09-21,1
19.036312,72.858025,Robbery,2025-05-17,3
19.019689,72.948185,Assault,2026-06-28,4
19.049669,72.828427,Assault,2026-04-11,4
19.098725,72.870188,Robbery,2024-12-24,3
19.113428,72.875086,Theft,2026-08-10,1
19.055495,72.847428,Theft,2025-06-18,1
19.021174,72.841276,Assault,2025-07-06,4
19.106857,72.856118,Harassment,2026-02-05,2
19.062579,72.826995,Theft,2025-05-25,1
19.128421,72.909247,Harassment,2025-08-11,2
19.126957,72.896943,Robbery,2026-04-16,3
19.08946,72.876351,Assault,2026-04-20,4
19.078148,72.872148,Theft,2025-01-26,1
19.037775,72.79436,Assault,2025-11-08,4
19.076679,72.841062,Assault,2026-07-22,4
19.133088,72.900924,Robbery,2025-05-18,3
19.066805,72.877021,Harassment,2025-05-20,2
19.099794,72.883343,Assault,2026-04-05,4
19.072065,72.809915,Harassment,2026-01-31,2
19.091854,72.863603,Theft,2025-05-10,1
19.048304,72.903499,Assault,2025-04-26,4
19.084775,72.876499,Theft,2026-01-24,1
19.12216,72.889713,Theft,2025-03-31,1
19.028468,72.948878,Robbery,2025-09-13,3
19.078715,72.818917,Theft,2024-11-23,1
19.008932,72.776021,Robbery,2025-06-11,3
19.046852,72.863218,Theft,2025-06-08,1
19.037186,72.859669,Robbery,2026-03-25,3
19.181088,72.791123,Theft,2026-03-25,1
19.052392,72.83405,Harassment,2026-05-01,2
19.071863,72.844538,Assault,2025-11-10,4
19.05757,72.79471,Assault,2025-09-16,4
19.079904,72.889834,Harassment,2025-10-21,2
19.104213,72.852915,Theft,2026-07-03,1
19.083781,72.889027,Assault,2026-02-13,4
19.099715,72.946456,Harassment,2024-09-25,2
19.168015,72.882939,Harassment,2024-10-06,2
19.127323,72.921793,Harassment,2025-05-16,2
19.057531,72.832799,Theft,2024-10-16,1
19.043358,72.855883,Theft,2024-12-14,1
19.073605,72.882498,Robbery,2026-05-31,3
19.055682,72.814269,Theft,2025-07-31,1
19.040179,72.851267,Theft,2025-11-21,1
19.064025,72.866,Assault,2024-09-25,4
19.114527,72.893637,Theft,2025-08-18,1
19.070167,72.82515,Assault,2026-06-10,4
19.10841,72.781101,Robbery,2024-12-26,3
19.180317,72.948183,Harassment,2025-03-28,2
19.045178,72.845428,Robbery,2024-11-05,3
19.141496,72.814966,Assault,2026-03-16,4
19.135006,72.832825,Robbery,2026-06-27,3
19.057014,72.859038,Assault,2024-10-17,4
19.004189,72.830104,Assault,2026-03-12,4
19.150895,72.780258,Robbery,2025-01-10,3
19.099026,72.86049,Harassment,2025-10-26,2
19.081601,72.878402,Robbery,2025-05-21,3
19.065001,72.750638,Theft,2024-09-16,1
19.055327,72.838228,Assault,2025-03-24,4
19.044909,72.866575,Robbery,2024-12-17,3
19.087859,72.939091,Robbery,2024-09-26,3
19.022156,72.890859,Robbery,2025-02-11,3
19.044423,72.852106,Robbery,2025-08-21,3
19.040543,72.843362,Harassment,2026-05-19,2
19.074497,72.871435,Robbery,2026-02-11,3
19.031625,72.874054,Assault,2025-08-31,4
19.023789,72.845618,Robbery,2025-07-07,3
19.103783,72.855961,Robbery,2025-09-23,3
19.047519,72.846605,Theft,2024-10-11,1
19.142976,72.898524,Theft,2025-03-03,1
19.037794,72.857815,Robbery,2026-05-25,3
19.040028,72.845961,Harassment,2025-11-28,2
19.188831,72.860568,Assault,2024-12-04,4
19.197504,72.76474,Harassment,2025-05-11,2
19.100726,72.862919,Harassment,2025-12-26,2
19.158449,72.795929,Assault,2026-05-02,4
19.07302,72.872984,Assault,2025-09-19,4
19.048895,72.829153,Assault,2025-12-22,4
19.112112,72.860832,Assault,2024-12-24,4
19.147085,72.897999,Theft,2025-09-30,1
19.126711,72.889667,Assault,2025-10-21,4
19.147918,72.833901,Robbery,2025-03-31,3
19.03923,72.915347,Assault,2025-11-07,4
19.047346,72.843764,Theft,2025-08-25,1
19.047464,72.812102,Theft,2024-10-28,1
19.186782,72.897529,Assault,2025-04-03,4
19.062775,72.783744,Assault,2026-06-29,4
19.02595,72.778209,Theft,2025-03-02,1
19.145846,72.891029,Assault,2025-01-17,4
19.036598,72.843191,Robbery,2026-01-31,3
19.075101,72.872105,Harassment,2025-04-29,2
19.053423,72.847203,Robbery,2026-05-06,3
19.084598,72.859404,Harassment,2025-12-14,2
19.033239,72.865493,Robbery,2025-09-16,3
19.071358,72.830736,Theft,2024-11-30,1
19.12017,72.932746,Assault,2025-12-15,4
19.057998,72.830003,Robbery,2025-04-21,3
19.078422,72.880433,Assault,2025-01-15,4
19.033021,72.856133,Theft,2026-03-21,1
19.136443,72.899235,Assault,2025-01-23,4
19.099752,72.883224,Harassment,2025-05-09,2
19.084139,72.869433,Assault,2024-10-23,4
19.097651,72.759899,Theft,2025-01-15,1
19.050992,72.835599,Harassment,2026-05-06,2
19.195458,72.880672,Harassment,2026-06-05,2
19.050621,72.836101,Robbery,2025-11-17,3
19.132934,72.908035,Theft,2025-01-06,1
19.150011,72.919602,Robbery,2026-02-06,3
19.099838,72.863285,Theft,2024-12-14,1
19.129056,72.936885,Harassment,2024-10-15,2
19.196389,72.77312,Theft,2025-08-23,1
19.094316,72.93013,Assault,2026-02-24,4
19.058579,72.827032,Harassment,2025-03-08,2
19.082945,72.854014,Harassment,2025-04-06,2
19.123583,72.885288,Assault,2025-04-10,4
19.094514,72.85623,Robbery,2025-07-03,3
19.157459,72.812541,Theft,2025-01-15,1
19.191241,72.925929,Robbery,2024-11-24,3
19.033387,72.846138,Assault,2025-10-21,4
19.093012,72.81744,Robbery,2025-11-19,3
19.130726,72.893579,Harassment,2026-08-05,2
19.104393,72.86097,Theft,2025-04-14,1
19.141358,72.791602,Robbery,2026-02-18,3
19.127435,72.892555,Robbery,2026-02-25,3
19.116365,72.898702,Assault,2025-11-24,4
19.15115,72.775131,Harassment,2026-04-05,2
19.093978,72.879553,Assault,2025-01-02,4
19.197611,72.860339,Theft,2026-02-25,1
19.193438,72.895846,Robbery,2026-05-22,3
19.13386,72.77943,Robbery,2025-01-19,3
19.05623,72.845744,Assault,2025-11-23,4
19.118784,72.893045,Harassment,2025-03-24,2
19.085888,72.882952,Theft,2026-07-29,1
19.023644,72.800655,Theft,2024-11-30,1
19.107006,72.867046,Robbery,2025-07-27,3
19.055553,72.834163,Assault,2025-12-08,4
19.071157,72.83021,Theft,2024-09-27,1
19.04967,72.854128,Robbery,2026-04-02,3
19.068084,72.883921,Robbery,2025-02-15,3
19.061099,72.847354,Robbery,2026-08-09,3
19.054528,72.864769,Theft,2026-08-06,1
19.055621,72.836846,Harassment,2025-02-08,2
19.061303,72.822266,Harassment,2025-11-25,2
19.10686,72.871486,Harassment,2026-07-05,2
19.181004,72.791313,Harassment,2026-07-21,2
19.115093,72.882484,Assault,2026-05-08,4
19.145816,72.898221,Harassment,2025-11-29,2
19.082494,72.856819,Robbery,2024-11-16,3
19.069248,72.867868,Robbery,2025-10-01,3
19.135669,72.900703,Robbery,2025-09-12,3
19.135939,72.793125,Robbery,2025-11-21,3
19.139035,72.902171,Robbery,2025-02-04,3
19.076588,72.789255,Assault,2026-05-24,4
19.062464,72.869314,Theft,2026-03-27,1
19.05515,72.833617,Robbery,2026-07-20,3
19.157281,72.856492,Assault,2025-08-11,4
19.038782,72.784519,Assault,2025-03-03,4
19.077758,72.834449,Theft,2025-06-08,1
19.160465,72.807627,Harassment,2024-08-29,2
19.050396,72.866024,Theft,2024-11-19,1
19.086412,72.947439,Theft,2026-02-17,1
19.003907,72.899074,Robbery,2026-05-20,3
19.062577,72.871927,Theft,2026-08-21,1
19.12679,72.916743,Assault,2025-03-16,4
19.03925,72.859729,Robbery,2026-01-01,3
19.095599,72.859708,Harassment,2025-04-27,2
19.088631,72.855169,Assault,2026-07-27,4
19.084031,72.901824,Harassment,2025-05-09,2
19.021111,72.775763,Harassment,2025-06-23,2
19.085057,72.886589,Theft,2026-06-10,1
19.001686,72.904363,Harassment,2025-06-04,2
19.079146,72.866029,Assault,2024-12-15,4
19.140922,72.839348,Assault,2025-06-25,4
19.118552,72.901382,Theft,2025-05-29,1
19.096003,72.859543,Robbery,2025-05-02,3
19.11463,72.816255,Harassment,2025-08-25,2
19.137498,72.926536,Theft,2024-10-14,1
19.045851,72.840305,Theft,2026-06-18,1
19.078572,72.870108,Harassment,2026-05-23,2
19.066257,72.834748,Harassment,2026-05-28,2
19.12655,72.890172,Theft,2025-05-07,1
19.12223,72.892876,Harassment,2025-04-05,2
19.009498,72.905074,Assault,2024-11-10,4
19.044287,72.853132,Theft,2026-03-08,1
19.064502,72.885696,Harassment,2026-01-21,2
19.071381,72.868593,Theft,2024-11-09,1
19.102977,72.866804,Theft,2026-02-21,1
19.132045,72.895397,Theft,2025-05-24,1
19.055035,72.856708,Harassment,2025-01-10,2
19.095459,72.854409,Theft,2026-07-06,1
19.003525,72.789065,Robbery,2025-09-06,3
19.094252,72.860986,Assault,2025-11-16,4
19.085501,72.900425,Assault,2025-04-05,4
19.08433,72.895197,Robbery,2026-01-28,3
19.083495,72.862703,Assault,2026-06-05,4
19.163286,72.88919,Robbery,2024-10-22,3
19.065089,72.878975,Robbery,2025-10-19,3
19.047985,72.756259,Harassment,2025-02-01,2
19.035683,72.852444,Robbery,2025-12-16,3
19.042329,72.852881,Robbery,2025-08-27,3
19.012647,72.750414,Harassment,2024-09-14,2
19.085911,72.881094,Theft,2025-10-12,1
19.194957,72.803762,Harassment,2025-05-02,2
19.041455,72.845027,Theft,2025-07-07,1
19.075372,72.889139,Harassment,2025-05-25,2
19.038955,72.857873,Robbery,2026-05-25,3
19.122741,72.773897,Robbery,2025-09-28,3
19.133767,72.902862,Robbery,2025-10-08,3
19.142704,72.899709,Theft,2025-03-20,1
19.085618,72.787444,Harassment,2025-01-31,2
19.09605,72.861395,Assault,2025-04-02,4
19.108045,72.871039,Harassment,2025-06-01,2
19.136997,72.76401,Harassment,2025-08-24,2
19.135987,72.904062,Assault,2026-04-09,4
19.034289,72.857764,Assault,2025-05-02,4
19.109584,72.84896,Theft,2025-03-17,1
19.133395,72.939351,Harassment,2026-08-03,2
19.11333,72.819815,Assault,2025-03-10,4
19.123811,72.88767,Robbery,2025-07-03,3
19.194248,72.895443,Robbery,2025-05-29,3
19.034349,72.771799,Theft,2024-09-27,1
19.135711,72.88756,Theft,2026-03-20,1
19.19542,72.914627,Harassment,2025-09-17,2
19.160061,72.910349,Theft,2026-02-14,1
19.069427,72.913015,Robbery,2025-02-17,3
19.020683,72.790287,Robbery,2024-10-16,3
19.115884,72.873701,Assault,2026-08-10,4
19.032083,72.774677,Assault,2025-06-13,4
19.029192,72.860129,Harassment,2026-05-31,2
19.066529,72.830191,Harassment,2026-01-10,2
19.192259,72.903014,Assault,2025-07-04,4
19.102217,72.845053,Theft,2025-04-28,1
19.071138,72.875615,Harassment,2026-01-31,2
19.078355,72.874158,Robbery,2025-04-01,3
19.12568,72.900652,Theft,2026-03-18,1
19.13664,72.901287,Robbery,2026-03-09,3
19.056121,72.84207,Harassment,2026-02-08,2
19.055856,72.845738,Robbery,2025-03-27,3
19.105877,72.868468,Theft,2025-12-16,1
19.139869,72.860101,Harassment,2024-09-08,2
19.086961,72.92799,Robbery,2025-11-03,3
19.081033,72.873484,Robbery,2026-07-06,3
19.114325,72.774147,Harassment,2026-06-25,2
19.059949,72.831526,Robbery,2024-10-10,3
19.031418,72.771517,Harassment,2026-02-10,2
19.09748,72.860806,Theft,2025-12-16,1
19.067589,72.887126,Assault,2024-11-16,4
19.057655,72.832351,Theft,2024-11-12,1
19.096768,72.879047,Assault,2026-01-27,4
19.082105,72.833402,Theft,2026-06-24,1
19.059994,72.834166,Theft,2024-11-12,1
19.08063,72.853878,Assault,2026-04-12,4
19.104728,72.764177,Assault,2024-11-29,4
19.014204,72.835963,Theft,2024-11-28,1
19.067842,72.827946,Assault,2026-02-06,4
19.055403,72.824754,Harassment,2024-09-19,2
19.166716,72.761977,Harassment,2026-05-02,2
19.110911,72.901275,Robbery,2025-11-11,3
19.062945,72.841855,Assault,2026-05-01,4
19.138687,72.918116,Harassment,2025-08-14,2
19.168405,72.809657,Harassment,2025-06-18,2
19.11615,72.821729,Theft,2026-02-20,1
19.125287,72.895596,Theft,2025-05-27,1
19.149274,72.864008,Assault,2025-03-13,4
19.181422,72.84908,Assault,2025-06-07,4
19.129801,72.912584,Assault,2024-12-26,4
19.074137,72.809567,Harassment,2026-01-25,2
19.050331,72.852938,Assault,2025-05-05,4
19.046254,72.858258,Assault,2026-03-05,4
19.012864,72.865,Assault,2025-06-02,4
19.163791,72.925809,Assault,2026-08-05,4
19.145355,72.907455,Theft,2025-09-19,1
19.061823,72.935885,Robbery,2025-04-28,3
19.09351,72.868794,Assault,2025-08-05,4
19.01226,72.752476,Assault,2026-01-08,4
19.072192,72.8734,Robbery,2025-12-14,3
19.099695,72.795548,Theft,2026-03-04,1
19.01153,72.760728,Assault,2025-11-29,4
19.095053,72.872862,Robbery,2025-03-09,3
19.056233,72.91982,Theft,2025-10-14,1
19.006776,72.87555,Theft,2025-03-29,1
19.053128,72.858922,Theft,2024-12-01,1
19.077086,72.883259,Harassment,2026-05-13,2
19.06622,72.888741,Robbery,2025-01-25,3
19.055164,72.854763,Robbery,2025-04-30,3
19.071941,72.892211,Theft,2026-02-15,1
19.052059,72.835547,Harassment,2025-03-10,2
19.157686,72.912136,Robbery,2026-02-21,3
19.090487,72.763578,Robbery,2026-03-05,3
19.11416,72.851238,Harassment,2026-03-20,2
19.165341,72.810825,Harassment,2026-03-25,2
19.139907,72.906963,Harassment,2026-02-23,2
19.007681,72.83342,Harassment,2025-01-18,2
19.04649,72.863104,Harassment,2025-01-30,2
19.0741,72.877364,Robbery,2025-04-11,3
19.111551,72.809542,Robbery,2025-01-05,3
19.063972,72.832457,Assault,2026-01-25,4
19.109017,72.862452,Robbery,2025-08-24,3
19.059431,72.840519,Theft,2025-01-20,1
19.110333,72.846652,Theft,2026-01-30,1
19.067006,72.873654,Theft,2026-04-24,1
19.115116,72.931658,Assault,2025-08-24,4
19.048683,72.865827,Theft,2025-11-24,1
19.1685,72.832095,Theft,2025-11-30,1
19.053616,72.839658,Assault,2024-12-26,4
19.095606,72.851221,Theft,2026-06-19,1
19.029107,72.885614,Assault,2025-08-13,4
19.052837,72.836519,Assault,2026-08-20,4
19.047235,72.848994,Theft,2024-12-31,1
19.127918,72.904907,Harassment,2025-02-25,2
19.149398,72.910437,Assault,2025-05-13,4
19.057329,72.884355,Assault,2026-04-13,4
19.00188,72.758622,Theft,2024-12-31,1
19.14296,72.904807,Theft,2025-12-30,1
19.009004,72.803897,Robbery,2026-08-14,3
19.040237,72.854562,Assault,2025-07-06,4
19.063986,72.874059,Robbery,2025-02-01,3
19.072835,72.845115,Theft,2025-08-30,1
19.00538,72.91293,Assault,2024-11-04,4
19.052638,72.75299,Theft,2026-03-04,1
19.130859,72.893515,Robbery,2026-03-06,3
19.123372,72.782557,Harassment,2024-11-05,2
19.073943,72.84192,Theft,2026-07-05,1
19.070646,72.912773,Harassment,2025-01-12,2
19.150069,72.839675,Theft,2025-11-28,1
19.116823,72.873835,Harassment,2024-11-18,2
19.041656,72.815467,Harassment,2025-03-09,2
19.076422,72.875827,Theft,2026-04-18,1
19.070657,72.872807,Assault,2025-08-07,4
19.089718,72.86443,Theft,2025-08-09,1
19.108108,72.860018,Theft,2025-11-06,1
